Title,Platform,Date of release,Genre,Rating,Amount of ratings
TOTAL WAR: WARHAMMER II,PC,09/2017,Strategy,0.87,579.0
SENTINEL 3: HOMEWORLD,iOS,11/2010,,0.87,
"WARHAMMER 40,000: DAWN OF WAR - DARK CRUSADE",PC,10/2006,Strategy,0.87,405.0
COMMANDOS 2: MEN OF COURAGE,PC,09/2001,Strategy,0.87,297.0
PIXELJUNK MONSTERS DELUXE,PSP,09/2009,,0.86,
THE LAST FRIEND,Switch,04/2022,,0.86,
SUPREME COMMANDER,PC,02/2007,Strategy,0.86,348.0
AGE OF EMPIRES II: DEFINITIVE EDITION,Xbox Series X,01/2023,,0.86,
GROUND CONTROL,PC,06/2000,,0.86,
STARCRAFT II: HEART OF THE SWARM,PC,03/2013,Strategy,0.86,1634.0
ANOMALY 2,iOS,10/2013,Action,0.86,15.0
THE LAST FRIEND,PC,09/2021,,0.86,
ANOMALY KOREA,iOS,12/2012,Strategy,0.86,18.0
EUROPA UNIVERSALIS III: HEIR TO THE THRONE,PC,12/2009,,0.86,
DESPERADOS III,PC,06/2020,Strategy,0.86,702.0
CLASH ROYALE,iOS,03/2016,,0.86,
COMMAND & CONQUER: RED ALERT 2 - YURI'S REVENGE,PC,10/2001,Strategy,0.86,338.0
HEROES OF THE STORM,PC,06/2015,Action,0.86,1564.0
PLANTS VS. ZOMBIES HEROES,iOS,10/2016,Real-Time,0.86,45.0
TOTAL WAR: WARHAMMER III,PC,02/2022,Strategy,0.85,311.0
PLANTS VS. ZOMBIES,PlayStation 3,02/2011,Strategy,0.85,85.0
AUTUMN DYNASTY,iOS,05/2012,Action,0.85,16.0
CRUSADER KINGS III,PlayStation 5,03/2022,Strategy,0.85,30.0
"WARHAMMER 40,000: DAWN OF WAR II",PC,02/2009,,0.85,
BATTLERITE,PC,11/2017,Strategy,0.85,121.0
COMMAND & CONQUER 3: TIBERIUM WARS,PC,03/2007,Strategy,0.85,545.0
TROPICO,PC,04/2001,Strategy,0.85,134.0
SHADOW TACTICS: BLADES OF THE SHOGUN,PC,12/2016,Strategy,0.85,397.0
MEDIEVAL II: TOTAL WAR KINGDOMS,PC,08/2007,Strategy,0.85,227.0
KINGDOM RUSH FRONTIERS,iOS,06/2013,,0.85,
CASTLESTORM: FREE TO SIEGE,iOS,05/2014,,0.85,
UNSTOPPABLE GORG,iOS,01/2012,,0.85,
TOTAL WAR: THREE KINGDOMS,PC,05/2019,Strategy,0.85,394.0
SHADOW TACTICS: BLADES OF THE SHOGUN,Xbox One,08/2017,Strategy,0.85,42.0
"WARHAMMER 40,000: DAWN OF WAR - WINTER ASSAULT",PC,09/2005,Strategy,0.85,175.0
STAR WARS™ Empire at War - Gold Pack,PC,02/2006,Strategy,0.97,31442.0
Age of Empires II (2013),PC,04/2013,Strategy,0.96,97077.0
Age of Empires II: Definitive Edition,PC,11/2019,Strategy,0.95,121040.0
Kenshi,PC,12/2018,Open World,0.95,67650.0
Supreme Commander: Forged Alliance,PC,09/2011,Strategy,0.97,11592.0
Mindustry,PC,09/2019,Base Building,0.96,14277.0
Door Kickers 2: Task Force North,PC,11/2020,Strategy,0.97,6428.0
"Warhammer® 40,000: Dawn of War® - Soulstorm",PC,03/2008,Warhammer 40K,0.96,14235.0
Rusted Warfare - RTS,PC,07/2017,RTS,0.97,3573.0
Lobotomy Corporation | Monster Management Simulation,PC,04/2018,Management,0.94,24939.0
Against the Storm,PC,11/2022,Strategy,0.95,10042.0
Creeper World 3: Arc Eternal,PC,03/2014,Tower Defense,0.97,4272.0
Dungeons 3,PC,10/2017,Strategy,0.94,17241.0
Airships: Conquer the Skies,PC,08/2018,Grand Strategy,0.96,4825.0
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",PC,01/2006,Strategy,0.95,8702.0
Empires of the Undergrowth,PC,12/2017,Strategy,0.95,8184.0
Rise of Nations: Extended Edition,PC,06/2014,Strategy,0.94,12383.0
Door Kickers,PC,10/2014,Tactical,0.95,9324.0
Creeper World 4,PC,12/2020,Tower Defense,0.96,3344.0
Command & Conquer 3: Kane's Wrath,PC,11/2009,Strategy,0.96,3501.0
Total War: SHOGUN 2,PC,03/2011,Strategy,0.92,54685.0
Brutal Legend,PC,02/2013,Action,0.93,17410.0
Sins of a Solar Empire®: Rebellion,PC,06/2012,Real Time Tactics,0.93,14861.0
Victoria II,PC,08/2010,Grand Strategy,0.92,17140.0
Overlord™,PC,06/2007,Hack and Slash,0.93,5650.0
Impossible Creatures Steam Edition,PC,01/2003,Strategy,0.95,1481.0
Original War,PC,06/2001,Strategy,0.95,1774.0
Shadow Tactics: Aiko's Choice,PC,12/2021,Real Time Tactics,0.93,3405.0
Company of Heroes: Tales of Valor,PC,04/2009,Strategy,0.93,2107.0
EMERGENCY 4 Deluxe,PC,04/2006,Simulation,0.94,1344.0
Going Medieval,PC,06/2021,City Builder,0.9,14234.0
Knights of Honor,PC,05/2005,Strategy,0.93,2177.0
Element TD 2 - Tower Defense,PC,04/2021,Tower Defense,0.92,2286.0
Northgard,PC,03/2018,Strategy,0.88,53077.0
BattleGroupVR,PC,07/2020,First-Person,0.94,742.0
Particle Fleet: Emergence,PC,09/2016,Strategy,0.93,1056.0
The Wandering Village,PC,09/2022,Sandbox,0.91,3440.0
Homeworld Remastered Collection,PC,02/2015,Space,0.89,11687.0
Seven Kingdoms: Ancient Adversaries,PC,06/1998,Strategy,0.97,176.0
Kingdom Under Fire: The Crusaders,PC,02/2020,Action,0.92,899.0
Hegemony Gold: Wars of Ancient Greece,PC,03/2012,Strategy,0.96,184.0
Battlezone 98 Redux,PC,04/2016,Strategy,0.92,912.0
Starship Troopers: Terran Command,PC,06/2022,Strategy,0.88,7399.0
Metal Fatigue,PC,07/2000,Strategy,0.94,349.0
Age of Empires IV: Anniversary Edition,PC,10/2021,Strategy,0.86,49696.0
Commandos: Behind Enemy Lines,PC,08/1998,Strategy,0.89,3198.0
Blitzkrieg Anthology,PC,03/2003,Strategy,0.91,1226.0
112 Operator,PC,04/2020,Simulation,0.89,4560.0
Darkest Hour: A Hearts of Iron Game,PC,04/2011,Strategy,0.9,1864.0
Praetorians - HD Remaster,PC,01/2020,Strategy,0.91,761.0
Screeps: World,PC,11/2016,Programming,0.9,1671.0
War Selection,PC,10/2019,Strategy,0.87,17312.0
三国：争霸天下,PC,,Strategy,0.96,132.0
Dawn of Man,PC,03/2019,City Builder,0.87,15003.0
Cannon Brawl,PC,09/2014,Local Multiplayer,0.91,776.0
Warzone 2100,PC,04/1999,Strategy,0.9,1174.0
It Stares Back,PC,06/2019,Strategy,0.98,86.0
Epic Fantasy Battle Simulator,PC,08/2021,Action,0.93,311.0
Ultimate Epic Battle Simulator 2,PC,05/2022,Simulation,0.88,3290.0
Battle Realms: Zen Edition,PC,12/2019,Strategy,0.88,2609.0
Tzar: The Burden of the Crown,PC,01/2000,Strategy,0.92,379.0
Byte Lynx,PC,10/2022,Strategy,0.98,59.0
Worbital,PC,01/2019,Action RTS,0.91,387.0
Giants: Citizen Kabuto,PC,12/2000,Action,0.94,139.0
Istrolid,PC,05/2016,Strategy,0.87,2601.0
Natural Selection 2,PC,10/2012,Strategy,0.85,12648.0
War for the Overworld,PC,04/2015,Strategy,0.86,7158.0
Command & Conquer: Red Alert 3,PC,10/2008,Strategy,0.85,11942.0
